	ID	b	cg	cs	g	i	im_asym	im_box_h1	im_box_h2	im_box_w1	im_box_w2	im_curvature_deg	im_curvature_rad	im_length_curved	im_length_curved_px	im_length_straight	im_length_straight_px	im_mm_per_px	im_p_1st_quart_1	im_p_1st_quart_2	im_p_3rd_quart_1	im_p_3rd_quart_2	im_p_circle_center	im_p_egg_middle	im_p_length_1	im_p_length_2	im_p_midpoint_1	im_p_midpoint_2	im_p_scale_bar_1	im_p_scale_bar_2	im_q_development	im_q_geo_pattern	im_q_image_type	im_q_operculum	im_radius_mm	im_radius_px	im_sb_length_mm	im_sb_length_px	im_status	im_width	im_width_px	real_ar	real_asym	real_curv
0	05100001	art_egg	art_egg_for_clicking	1	art_egg	1	1.07944746431	491.0	692.0	84.0	221.0	3.18237439874	0.0555412731868	0.752600231414	76.0163490252	0.752503499892	76.0065786626	0.00990050483961	(129, 654)	(125, 529)	(167, 522)	(167, 657)	(167.0, 1957.5)	(147, 589)	(111, 590)	(187, 589)	(148, 666)	(146, 513)	(215, 481)	(316, 482)	n	n	d	n	13.550287709144339	1368.6461376119103	1.0	101.004950374	absolute	1.5149066533	153.013071337	0.5	1.0	000
1	05100301	art_egg	art_egg_for_clicking	1	art_egg	1	1.02156629548	249.0	458.0	82.0	215.0	62.9974640111	1.09948073995	0.877078863561	89.4620440833	0.833563981922	85.023526156	0.00980392156863	(144, 428)	(118, 325)	(148, 427)	(179, 323)	(147.86800785083418, 433.35966633954865)	(149, 352)	(107, 363)	(192, 365)	(147, 428)	(151, 277)	(214, 475)	(316, 475)	n	n	d	n	0.7977209892756469	81.36754090611599	1.0	102.0	absolute	1.48091147884	151.052970841	0.5	1.0	030
2	05120001	art_egg	art_egg_for_clicking	1	art_egg	1	1.26940134684	484.0	694.0	329.0	458.0	5.95264850513	0.103890251549	0.755205266075	77.0346390373	0.75486568399	77.0	0.00980345044142	(372, 529)	(369, 644)	(410, 659)	(407, 513)	(391.5, -152.5)	(391, 589)	(353, 588)	(430, 588)	(391, 665)	(391, 513)	(215, 482)	(317, 481)	n	n	d	n	7.269260154952802	741.5001685771892	1.0	102.004901843	absolute	1.4901244671	152.0	0.5	1.2	000
3	05120301	art_egg	art_egg_for_clicking	1	art_egg	1	1.2043661352	239.0	456.0	327.0	455.0	97.5097744869	1.70181642528	0.981975594489	99.1843961896	0.867693257946	87.6413144584	0.00990050483961	(380, 423)	(363, 322)	(432, 358)	(376, 422)	(380.03912543153046, 419.3285385500573)	(395, 363)	(349, 370)	(433, 395)	(378, 423)	(412, 303)	(215, 476)	(316, 475)	n	n	d	n	0.5770161692538208	58.28148954032294	1.0	101.004950374	absolute	1.23482754221	124.723694621	0.5	1.2	030
4	05180001	art_egg	art_egg_for_clicking	1	art_egg	1	1.84737908198	463.0	700.0	552.0	727.0	23.6401931923	0.412587038409	0.760502932454	77.5750269763	0.755120276133	77.0259696466	0.00980345044142	(614, 637)	(608, 551)	(638, 669)	(658, 511)	(626.7214983713354, 773.9723127035821)	(631, 586)	(593, 589)	(670, 591)	(630, 661)	(633, 511)	(215, 482)	(317, 481)	n	n	d	n	1.8432545418464208	188.0209986127075	1.0	102.004901843	absolute	1.47081164032	150.029997001	0.5	1.8	000
5	05180301	art_egg	art_egg_for_clicking	1	art_egg	1	1.65226458671	204.0	485.0	545.0	735.0	45.1915692288	0.78871841518		100.592239448		98.005101908		(604, 394)	(642, 272)	(624, 422)	(674, 363)	(578.5313152400835, 479.8256784968686)	(638, 367)	(592, 353)	(678, 400)	(614, 411)	(662, 323)			n	n	d	n		127.53884974921596			relative		100.239712689	0.5	1.8	030
6	10100001	art_egg	art_egg_for_clicking	1	art_egg	1	1.04131954786	495.0	685.0	802.0	991.0	1.63695920148	0.0285694851748	1.43138601699	146.008390163	1.43133733751	146.003424617	0.00980345044142	(856, 649)	(855, 528)	(931, 524)	(930, 650)	(930.0, 5698.5)	(892, 588)	(822, 589)	(968, 588)	(893, 660)	(892, 516)	(964, 481)	(1066, 482)	n	n	d	n	50.10191847127855	5110.641275808742	1.0	102.004901843	absolute	1.41173090291	144.00347218	1.0	1.0	000
7	10100301	art_egg	art_egg_for_clicking	1	art_egg	1	1.05022496498	258.0	455.0	795.0	993.0	24.3942080492	0.425746692148	1.49648435985	151.152328502	1.48520772681	150.013332741	0.00990050483961	(862, 415)	(849, 299)	(924, 417)	(936, 295)	(899.626455906822, 704.9841930116476)	(894, 350)	(820, 359)	(970, 357)	(895, 422)	(893, 279)	(964, 476)	(1065, 475)	n	n	d	n	3.5149641499336473	355.028779529494	1.0	101.004950374	absolute	1.41591065389	143.01398533	1.0	1.0	030
8	10120001	art_egg	art_egg_for_clicking	1	art_egg	1	1.242822051	486.0	699.0	1033.0	1246.0	3.18237439874	0.0555412731868	1.45569600618	147.032502864	1.45550890594	147.013604813	0.00990050483961	(1100, 531)	(1097, 642)	(1171, 657)	(1170, 519)	(1171.5, -2059.0)	(1134, 588)	(1062, 586)	(1209, 588)	(1134, 660)	(1135, 516)	(964, 474)	(1065, 475)	n	n	d	n	26.20926605855217	2647.265617575992	1.0	101.004950374	absolute	1.42570707324	144.00347218	1.0	1.2	000
9	10120301	art_egg	art_egg_for_clicking	1	art_egg	1	1.16472849444	251.0	456.0	1044.0	1251.0	24.2195368243	0.422698194075	1.48767223397	151.742567865	1.47662161038	150.615404259	0.00980392156863	(1095, 407)	(1099, 299)	(1156, 423)	(1187, 301)	(1085.2306733167084, 705.233167082291)	(1137, 350)	(1062, 347)	(1211, 369)	(1126, 421)	(1148, 279)	(964, 476)	(1066, 476)	n	n	d	n	3.519466737306839	358.9856072052976	1.0	102.0	absolute	1.40876587817	143.694119573	1.0	1.2	030
