in_egg_database	name	rank	order	semiaquatic_riparian	in_water	combined	references	handbook_of_zoology_vol_1_3	williams1992aquatic	wichard2002biological	jach1998annotated	JohannsenOAOskarAugustus1934Ad	additional_notes										
FALSE	Achenium	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
TRUE	Acilius	genus	Coleoptera	TRUE	FALSE	TRUE	2010CBV2, 2014CbV3, 2016Cbm	eggs laid outside water															
FALSE	Actenicerus	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Actidium	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Actinopteryx	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Actocharina_leptotyphloides	species	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Actocharis_readingii	species	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
TRUE	Acylophorus	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Adrastus	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Aepopsis	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Aepus	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
TRUE	Aeshnidae	family	Odonata	FALSE	FALSE	FALSE	wichard2002biological			eggs laid in aquatic plants													
TRUE	Agabus	genus	Coleoptera	FALSE	TRUE	TRUE	jackson1958egg, 2010CBV2, 2014CbV3, 2016Cbm	few outside water					eggs laid underwater on leaves										
TRUE	Agonum	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
TRUE	Aleochara	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Alianta_incana	species	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Alianta_nigella	species	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Aloconota	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Amblopusa	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
TRUE	Amphizoidae	family	Coleoptera	FALSE	TRUE	TRUE	2010CBV2, 2014CbV3, 2016Cbm, jach1998annotated	eggs laid under water			true water beetles												
TRUE	Annulipalpia	suborder	Trichoptera	FALSE	TRUE	TRUE	wichard2002biological			eggs laid in water													
FALSE	Anotylus_maritimus	species	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Anthicidae	family	Coleoptera	SOME	FALSE	SOME	2010CBV2, 2014CbV3, 2016Cbm, jach1998annotated	only reported as terrestrial			some riparian												
FALSE	Aphaenops	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Aphanotrigonum_darlingtoniae	species	Diptera	FALSE	TRUE	TRUE	JohannsenOAOskarAugustus1934Ad					aquatic (pitcher plants)											
FALSE	Aphelocheiridae	family	Hemiptera	FALSE	TRUE	TRUE	wichard2002biological			fully aquatic													
TRUE	Aphodiinae	subfamily	Coleoptera	SOME	FALSE	SOME	jach1998annotated				riparian		some										
FALSE	Aphrosylus	genus	Diptera	FALSE	TRUE	TRUE	JohannsenOAOskarAugustus1934Ad					aquatic											
FALSE	Apimela	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Argyra	genus	Diptera	FALSE	TRUE	TRUE	JohannsenOAOskarAugustus1934Ad					aquatic											
FALSE	Arpedium_quadrum	species	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
TRUE	Atanygnathus	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
TRUE	Atanygnathus_terminalis	species	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Athericidae	family	Diptera	SOME	FALSE	SOME	wichard2002biological			mostly terrestrial													
FALSE	Atherix	genus	Diptera	FALSE	FALSE	FALSE	JohannsenOAOskarAugustus1934Ad					overhanging water											
FALSE	Atheta	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Bagous	genus	Coleoptera	FALSE	FALSE	FALSE	jach1998annotated				phytophilous												
TRUE	Belostomatidae	family	Hemiptera	FALSE	TRUE	TRUE	williams1992aquatic, wichard2002biological		listed in table of aquatic insects	fully aquatic													
TRUE	Bembidion	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Beris	genus	Diptera	FALSE	FALSE	FALSE	JohannsenOAOskarAugustus1934Ad					aquatic											
FALSE	Betarmon	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
TRUE	Bledius	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Blepharhymenus	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
TRUE	Blephariceridae	family	Diptera	FALSE	TRUE	TRUE	JohannsenOAOskarAugustus1934Ad					aquatic											
FALSE	Blethisa	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Bolitobius_formosus	species	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Brachydeutera	genus	Diptera	FALSE	TRUE	TRUE	JohannsenOAOskarAugustus1934Ad					aquatic											
FALSE	Brachyusa_concolor	species	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Brundinia	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Bryothinusa	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Cafius	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Calodera	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Canacidae	family	Diptera	FALSE	TRUE	TRUE	wichard2002biological			fully aquatic													
