in_egg_database	name	rank	order	genus	species	family	migratory	reference
FALSE	Acherontia_atropos	species	Lepidoptera	Acherontia	atropos	Sphingidae	TRUE	dutchmigratory
FALSE	Aciagrion_occidentale	species	Odonata	Aciagrion	occidentale	Coenagrionidae	TRUE	CorbetPhilipS1999Dba
FALSE	Acontia_lucida	species	Lepidoptera	Acontia	lucida	Noctuidae	TRUE	dutchmigratory
FALSE	Acrobasis_tumidana	species	Lepidoptera	Acrobasis	tumidana	Pyralidae	TRUE	sparks2007increased
TRUE	Aglais_urticae	species	Lepidoptera	Aglais	urticae	Nymphalidae	TRUE	stancua2016migratory
TRUE	Agraulis_vanillae	species	Lepidoptera	Agraulis	vanillae	Nymphalidae	TRUE	texasento_migratory
FALSE	Agrius_cingulata	species	Lepidoptera	Agrius	cingulata	Sphingidae	TRUE	texasento_migratory
FALSE	Agrius_convolvuli	species	Lepidoptera	Agrius	convolvuli	Sphingidae	TRUE	dutchmigratory
TRUE	Agrotis_crassa	species	Lepidoptera	Agrotis	crassa	Noctuidae	TRUE	sparks2007increased
TRUE	Agrotis_ipsilon	species	Lepidoptera	Agrotis	ipsilon	Noctuidae	TRUE	texasento_migratory
FALSE	Alabama_argillacea	species	Lepidoptera	Alabama	argillacea	Erebidae	TRUE	texasento_migratory
FALSE	Amphipyra_berbera	species	Lepidoptera	Amphipyra	berbera	Noctuidae	TRUE	huemer2014testing
FALSE	Anaciaeschna_jaspidea	species	Odonata	Anaciaeschna	jaspidea	Aeshnidae	TRUE	CorbetPhilipS1999Dba
TRUE	Anarta_trifolii	species	Lepidoptera	Anarta	trifolii	Noctuidae	TRUE	sparks2007increased
FALSE	Anax_amazili	species	Odonata	Anax	amazili	Aeshnidae	TRUE	CorbetPhilipS1999Dba
FALSE	Anax_gibbosulus	species	Odonata	Anax	gibbosulus	Aeshnidae	TRUE	CorbetPhilipS1999Dba
FALSE	Anax_guttatus	species	Odonata	Anax	guttatus	Aeshnidae	TRUE	CorbetPhilipS1999Dba
FALSE	Anax_imperator	species	Odonata	Anax	imperator	Aeshnidae	TRUE	CorbetPhilipS1999Dba
TRUE	Anax_junius	species	Odonata	Anax	junius	Aeshnidae	TRUE	texasento_migratory
FALSE	Anax_parthenope	species	Odonata	Anax	parthenope	Aeshnidae	TRUE	CorbetPhilipS1999Dba
FALSE	Anax_tristis	species	Odonata	Anax	tristis	Aeshnidae	TRUE	CorbetPhilipS1999Dba
FALSE	Ancylosis_oblitella	species	Lepidoptera	Ancylosis	oblitella	Pyralidae	TRUE	dutchmigratory
TRUE	Anticarsia_gemmatalis	species	Lepidoptera	Anticarsia	gemmatalis	Noctuidae	TRUE	texasento_migratory
FALSE	Antigastra_catalaunalis	species	Lepidoptera	Antigastra	catalaunalis	Crambidae	TRUE	sparks2007increased
TRUE	Aphrissa_statira	species	Lepidoptera	Aphrissa	statira	Pieridae	TRUE	texasento_migratory
FALSE	Aplasta_ononaria	species	Lepidoptera	Aplasta	ononaria	Geometridae	TRUE	dutchmigratory
TRUE	Aporia_crataegi	species	Lepidoptera	Aporia	crataegi	Pieridae	TRUE	stancua2016migratory
FALSE	Ascalapha_odorata	species	Lepidoptera	Ascalapha	odorata	Noctuidae	TRUE	texasento_migratory
TRUE	Ascia_monuste	species	Lepidoptera	Ascia	monuste	Pieridae	TRUE	texasento_migratory
FALSE	Athetis_hospes	species	Lepidoptera	Athetis	hospes	Noctuidae	TRUE	sparks2007increased
FALSE	Autographa_bractea	species	Lepidoptera	Autographa	bractea	Noctuidae	TRUE	dutchmigratory
TRUE	Autographa_gamma	species	Lepidoptera	Autographa	gamma	Noctuidae	TRUE	dutchmigratory
TRUE	Catocala_electa	species	Lepidoptera	Catocala	electa	Noctuidae	TRUE	sparks2007increased
TRUE	Catocala_elocata	species	Lepidoptera	Catocala	elocata	Noctuidae	TRUE	stancua2016migratory
TRUE	Catocala_fraxini	species	Lepidoptera	Catocala	fraxini	Noctuidae	TRUE	dutchmigratory
