in_egg_database	original_name	name	rank	order	parasitoid	internal	conflict_across_sources	references	eggleton1992insect	noyes1989chalcidoidea	pennacchio2006evolution	gauld1988evolutionary	noyes2003universal
FALSE	Acridoymia	Acridomyia	genus	Diptera	TRUE	TRUE	FALSE	eggleton1992insect	all endoparasitic				
FALSE	Acroceridae	Acroceridae	family	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
TRUE	Acyglossa	Acyglossa	genus	Diptera	TRUE	TRUE	FALSE	eggleton1992insect	all endoparasitic				
FALSE	Adelognathinae	Adelognathinae	subfamily	Hymenoptera	TRUE	FALSE	FALSE	gauld1988evolutionary				all ectoparasitic	
TRUE	Agaonidae	Agaonidae	family	Hymenoptera	FALSE	FALSE	FALSE	eggleton1992insect, noyes1989chalcidoidea, noyes2003universal	endoparasiticphytic, kleptoparasitic	all phytophagous			all phytophagous
TRUE	Agathidinae	Agathidinae	subfamily	Hymenoptera	TRUE	TRUE	FALSE	gauld1988evolutionary				other subfamily in egg database - assuming status based on taxonomic position	
TRUE	Agriotypinae	Agriotypinae	subfamily	Hymenoptera	TRUE	TRUE	FALSE	gauld1988evolutionary				some ectoparasitic	
TRUE	Agriotypinae	Agriotypinae	subfamily	Hymenoptera	TRUE	SOME	FALSE	eggleton1992insect	endoparasitic				
TRUE	Aleochara	Aleochara	genus	Coleoptera	TRUE	FALSE	FALSE	eggleton1992insect	all ectoparasitic				
TRUE	Alysiinae	Alysiinae	subfamily	Hymenoptera	TRUE	TRUE	FALSE	gauld1988evolutionary				other subfamily in egg database - assuming status based on taxonomic position	
TRUE	Aphelinidae	Aphelinidae	family	Hymenoptera	TRUE	SOME	FALSE	noyes1989chalcidoidea, noyes2003universal		most ectoparasitic, some endoparasitic (males only)			females endoparasitic, males endoparasitic, ectoparasitic
TRUE	Aphidiinae	Aphidiinae	subfamily	Hymenoptera	TRUE	TRUE	FALSE	gauld1988evolutionary				other subfamily in egg database - assuming status based on taxonomic position	
TRUE	Apidae	Apidae	family	Hymenoptera	FALSE	FALSE	FALSE	eggleton1992insect	some kleptoparasitic				
FALSE	Asosylus	Asosylus	genus	Coleoptera	TRUE	FALSE	FALSE	eggleton1992insect	all ectoparasitic				
TRUE	Aulacidae	Aulacidae	family	Hymenoptera	FALSE	TRUE	FALSE	pennacchio2006evolution			all endoparasitic		
TRUE	Banchinae	Banchinae	subfamily	Hymenoptera	TRUE	TRUE	FALSE	gauld1988evolutionary				endoparasitic	
FALSE	Baryodma	Baryodma	genus	Coleoptera	TRUE	FALSE	FALSE	eggleton1992insect	all ectoparasitic				
FALSE	Batrachomyia	Batrachomyia	genus	Diptera	TRUE	TRUE	FALSE	eggleton1992insect	all endoparasitic				
FALSE	Bellardia	Bellardia	genus	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
TRUE	Bethylidae	Bethylidae	family	Hymenoptera	TRUE	FALSE	FALSE	eggleton1992insect	ectoparasitic				
TRUE	Bombyliidae	Bombyliidae	family	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all ectoparasitic				
FALSE	Bothrideres	Bothrideres	genus	Coleoptera	TRUE	FALSE	FALSE	eggleton1992insect	all ectoparasitic				
TRUE	Brachinus	Brachinus	genus	Coleoptera	TRUE	FALSE	FALSE	eggleton1992insect	all ectoparasitic				
TRUE	Braconidae	Braconidae	family	Hymenoptera	TRUE	SOME	FALSE	pennacchio2006evolution					
TRUE	Braconinae	Braconinae	subfamily	Hymenoptera	TRUE	SOME	FALSE	gauld1988evolutionary				most ectoparasitic	
FALSE	Calliphora dispar	Calliphora_dispar	species	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
FALSE	Calliphora sternalis	Calliphora_sternalis	species	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
TRUE	Campopleginae	Campopleginae	subfamily	Hymenoptera	TRUE	TRUE	FALSE	gauld1988evolutionary				endoparasitic	
TRUE	Cardiochilinae	Cardiochilinae	subfamily	Hymenoptera	TRUE	TRUE	FALSE	gauld1988evolutionary				other subfamily in egg database - assuming status based on taxonomic position	
FALSE	Catogenus rufus	Catogenus_rufus	species	Coleoptera	TRUE	FALSE	FALSE	eggleton1992insect	all ectoparasitic				
TRUE	Ceraphronoidea	Ceraphronoidea	superfamily	Hymenoptera	TRUE	SOME	FALSE	pennacchio2006evolution			endoparasitic, ectoparasitic		
TRUE	Chalcididae	Chalcididae	family	Hymenoptera	TRUE	SOME	FALSE	noyes1989chalcidoidea, noyes2003universal		most ectoparasitic, some endoparasitic			most endoparasitic, some ectoparasitic
TRUE	Chalcidoidea	Chalcidoidea	superfamily	Hymenoptera	SOME	SOME	FALSE	pennacchio2006evolution			endoparasitic, ectoparasitic, phyto, predatory		
TRUE	Cheloninae	Cheloninae	subfamily	Hymenoptera	TRUE	TRUE	FALSE	gauld1988evolutionary				other subfamily in egg database - assuming status based on taxonomic position	
TRUE	Chrysididae	Chrysididae	family	Hymenoptera	SOME	FALSE	FALSE	eggleton1992insect	ectoparasitic, kleptoparasitic				
TRUE	Calliphora tibialis	Cochliomyia_macellaria	species	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
FALSE	Colobaea bifasciella	Colobaea_bifasciella	species	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
TRUE	Conopidae	Conopidae	family	Diptera	TRUE	TRUE	FALSE	eggleton1992insect	all endoparasitic				
FALSE	Coprochara	Coprochara	genus	Coleoptera	TRUE	FALSE	FALSE	eggleton1992insect	all ectoparasitic				
TRUE	Cremastinae	Cremastinae	subfamily	Hymenoptera	TRUE	TRUE	FALSE	gauld1988evolutionary				endoparasitic	
TRUE	Phygadeuontinae	Cryptinae	subfamily	Hymenoptera	TRUE	SOME	FALSE	eggleton1992insect, gauld1988evolutionary	some			endoparasitic, ectoparasitic	
TRUE	Cryptochetidae	Cryptochetidae	family	Diptera	TRUE	TRUE	FALSE	eggleton1992insect	all endoparasitic				
TRUE	Cetnopelmatinae	Ctenopelmatinae	subfamily	Hymenoptera	TRUE	TRUE	FALSE	gauld1988evolutionary				endoparasitic	
TRUE	Cynipidae	Cynipidae	family	Hymenoptera	FALSE	FALSE	FALSE	eggleton1992insect	kleptoparasitic, endoparasiticphytic				
TRUE	Cynipoidea	Cynipoidea	superfamily	Hymenoptera	SOME	SOME	FALSE	pennacchio2006evolution			endoparasitic, phytophagous		
TRUE	Dastarcus	Dastarcus	genus	Coleoptera	TRUE	FALSE	FALSE	eggleton1992insect	all ectoparasitic				
FALSE	Deretaphrus	Deretaphrus	genus	Coleoptera	TRUE	FALSE	FALSE	eggleton1992insect	all ectoparasitic				
TRUE	Diapriidae	Diapriidae	family	Hymenoptera	TRUE	TRUE	FALSE	csiro1991insects					
