in_egg_database	name	rank	genus	species	ecology	references
FALSE	Monadroptera_acanthomera	species	Monadroptera	acanthomera	winged	PSG_Culture_List
FALSE	Pseudophasma_acanthonotus	species	Pseudophasma	acanthonotus	winged	PSG_Culture_List
FALSE	Brizoides_amabilis	species	Brizoides	amabilis	winged	PSG_Culture_List
FALSE	Necroscia_annulipes	species	Necroscia	annulipes	winged	PSG_Culture_List
FALSE	Anchiale_austrotessulata	species	Anchiale	austrotessulata	winged	PSG_Culture_List
FALSE	Haplopus_bicuspidatus	species	Haplopus	bicuspidatus	winged	PSG_Culture_List
FALSE	Sipyloidea_biplagiata	species	Sipyloidea	biplagiata	winged	PSG_Culture_List
FALSE	Pseudophasma_bispinosum	species	Pseudophasma	bispinosum	winged	PSG_Culture_List
FALSE	Lopaphus_brachypterus	species	Lopaphus	brachypterus	winged	PSG_Culture_List
TRUE	Anchiale_briareus	species	Anchiale	briareus	winged	PSG_Culture_List
TRUE	Tirachoidea_cantori	species	Tirachoidea	cantori	winged	PSG_Culture_List
FALSE	Pseudophasma_castaneum	species	Pseudophasma	castaneum	winged	PSG_Culture_List
FALSE	Dimorphodes_catenulatus	species	Dimorphodes	catenulatus	winged	PSG_Culture_List
TRUE	Pterinoxylus_crassus	species	Pterinoxylus	crassus	winged	PSG_Culture_List
TRUE	Malacomorpha_cyllarus	species	Malacomorpha	cyllarus	winged	PSG_Culture_List
FALSE	Metriophasma_diocles	species	Metriophasma	diocles	winged	PSG_Culture_List
FALSE	Hemiplasta_falcata	species	Hemiplasta	falcata	winged	PSG_Culture_List
FALSE	Pseudophasma_fulvum	species	Pseudophasma	fulvum	winged	PSG_Culture_List
TRUE	Cranidium_gibbosum	species	Cranidium	gibbosum	winged	PSG_Culture_List
TRUE	Diapherodes_gigantea	species	Diapherodes	gigantea	winged	PSG_Culture_List
TRUE	Phyllium_giganteum	species	Phyllium	giganteum	winged	PSG_Culture_List
TRUE	Phasma_gigas	species	Phasma	gigas	winged	PSG_Culture_List
TRUE	Dinophasma_guttigerum	species	Dinophasma	guttigerum	winged	PSG_Culture_List
FALSE	Centrophasma_hadrillum	species	Centrophasma	hadrillum	winged	PSG_Culture_List
FALSE	Creoxylus_hagani	species	Creoxylus	hagani	winged	PSG_Culture_List
FALSE	Phyllium_hausleithneri	species	Phyllium	hausleithneri	winged	PSG_Culture_List
FALSE	Diesbachia_hellotis	species	Diesbachia	hellotis	winged	PSG_Culture_List
FALSE	Phyllium_jacobsoni	species	Phyllium	jacobsoni	winged	PSG_Culture_List
FALSE	Haplopus_jamaicensis	species	Haplopus	jamaicensis	winged	PSG_Culture_List
FALSE	Sipyloidea_larryi	species	Sipyloidea	larryi	winged	PSG_Culture_List
FALSE	Phyllium_mabantai	species	Phyllium	mabantai	winged	PSG_Culture_List
TRUE	Trachythorax_maculicollis	species	Trachythorax	maculicollis	winged	PSG_Culture_List
FALSE	Sipyloidea_meneptolemus	species	Sipyloidea	meneptolemus	winged	PSG_Culture_List
FALSE	Pseudophasma_menius	species	Pseudophasma	menius	winged	PSG_Culture_List
FALSE	Haplopus_micropterus	species	Haplopus	micropterus	winged	PSG_Culture_List
FALSE	Anchiale_modesta	species	Anchiale	modesta	winged	PSG_Culture_List
FALSE	Hermarchus_novaebritanniae	species	Hermarchus	novaebritanniae	winged	PSG_Culture_List
TRUE	Rhynchacris_ornata	species	Rhynchacris	ornata	winged	PSG_Culture_List
FALSE	Sosibia_parvipennis	species	Sosibia	parvipennis	winged	PSG_Culture_List
FALSE	Megacrania_phelaus	species	Megacrania	phelaus	winged	PSG_Culture_List
FALSE	Rhamphosipyloidea_philippa	species	Rhamphosipyloidea	philippa	winged	PSG_Culture_List
