phylum	sub_phylum	class	order	family	genus	species	subspecies	Common Name	c_value	raw_C_value	Chrom num	Method	Cell type	Std sp	References	References
Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	Clunio	tsushimensis		Midge	0.07	0.07		FCM	BR	DM	Cornette, R., O. Gusev, Y. Nakahara, S. Shimura, T. Kikawada, and T. Okuda (2015). Chironomid midges (Diptera, Chironomidae) show extremely small genome sizes. Zoological Science 32: 248-254.	
Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	Diamesa	japonica		Midge	0.08	0.08		FCM	BR	DM	Cornette, R., O. Gusev, Y. Nakahara, S. Shimura, T. Kikawada, and T. Okuda (2015). Chironomid midges (Diptera, Chironomidae) show extremely small genome sizes. Zoological Science 32: 248-254.	
Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	Hydrobaenus	tsukubalatus		Midge	0.08	0.08		FCM	BR	DM	Cornette, R., O. Gusev, Y. Nakahara, S. Shimura, T. Kikawada, and T. Okuda (2015). Chironomid midges (Diptera, Chironomidae) show extremely small genome sizes. Zoological Science 32: 248-254.	
Arthropoda	Hexapoda	Insecta	Diptera	Cecidomyiidae	Mayetiola	destructor		Hessian fly	0.09	0.09		NS	NS	NS	W.C. Black. Unpublished work, given in Ma et al. (1992).	
Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	Tanytarsus	takahashii		Midge	0.09	0.09		FCM	BR	DM	Cornette, R., O. Gusev, Y. Nakahara, S. Shimura, T. Kikawada, and T. Okuda (2015). Chironomid midges (Diptera, Chironomidae) show extremely small genome sizes. Zoological Science 32: 248-254.	
Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	Cricotopus	bicinctus		Midge	0.10	0.10		FCM	BR	DM	Cornette, R., O. Gusev, Y. Nakahara, S. Shimura, T. Kikawada, and T. Okuda (2015). Chironomid midges (Diptera, Chironomidae) show extremely small genome sizes. Zoological Science 32: 248-254.	
Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	Paratanytarsus	grimmii		Midge	0.10	0.10		FCM	BR	DM	Cornette, R., O. Gusev, Y. Nakahara, S. Shimura, T. Kikawada, and T. Okuda (2015). Chironomid midges (Diptera, Chironomidae) show extremely small genome sizes. Zoological Science 32: 248-254.	
Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	Polypedilum	nubifer		Midge	0.10	0.10		FCM	BR	DM	Cornette, R., O. Gusev, Y. Nakahara, S. Shimura, T. Kikawada, and T. Okuda (2015). Chironomid midges (Diptera, Chironomidae) show extremely small genome sizes. Zoological Science 32: 248-254.	
Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	Polypedilum	vanderplanki		Midge	0.10	0.10		FCM	BR	DM	Cornette, R., O. Gusev, Y. Nakahara, S. Shimura, T. Kikawada, and T. Okuda (2015). Chironomid midges (Diptera, Chironomidae) show extremely small genome sizes. Zoological Science 32: 248-254.	
Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	Sergentia	kizakiensis		Midge	0.10	0.10		FCM	BR	DM	Cornette, R., O. Gusev, Y. Nakahara, S. Shimura, T. Kikawada, and T. Okuda (2015). Chironomid midges (Diptera, Chironomidae) show extremely small genome sizes. Zoological Science 32: 248-254.	
Arthropoda	Hexapoda	Insecta	Diptera	Psychodidae	Psychoda	cinerea		Fly	0.10	0.10		FCM	BR	DM	Schmidt-Ott, U., A.M. Rafiqi, K. Sander, and J.S. Johnston (2009). Extremely small genomes in two unrelated dipteran insects with shared early developmental traits. Development Genes and Evolution 219: 207-210.	
Arthropoda	Hexapoda	Insecta	Diptera	Psychodidae	Psychoda	cinerea		Moth fly	0.10	0.10		FCM	BR	DM	Schmidt-Ott, U., A.M. Rafiqi, K. Sander, and J.S. Johnston (2009). Extremely small genomes in two unrelated dipteran insects with shared early developmental traits. Developmental Genes and Evolution 219: 207-210.	
Arthropoda	Hexapoda	Insecta	Diptera	Scatopsidae	Coboldia	fuscipes		Fly	0.10	0.10		FCM	BR	DM	Schmidt-Ott, U., A.M. Rafiqi, K. Sander, and J.S. Johnston (2009). Extremely small genomes in two unrelated dipteran insects with shared early developmental traits. Development Genes and Evolution 219: 207-210.	
Arthropoda	Hexapoda	Insecta	Diptera	Scatopsidae	Coboldia	fuscipes		Minute black scavenger fly	0.10	0.10		FCM	BR	DM	Schmidt-Ott, U., A.M. Rafiqi, K. Sander, and J.S. Johnston (2009). Extremely small genomes in two unrelated dipteran insects with shared early developmental traits. Developmental Genes and Evolution 219: 207-210.	
Arthropoda	Hexapoda	Insecta	Hymenoptera	Braconidae	Aphidius	colemani		Wasp	0.10	0.10		FCM	BR	DM	Ardila-Garcia, A.M., G.J. Umphrey, and T.R. Gregory (2010). An expansion of the genome size dataset for the insect order Hymenoptera, with a first test of parasitism and eusociality as possible constraints. Insect Molecular Biology 19: 337–346.	
Arthropoda	Hexapoda	Insecta	Hymenoptera	Braconidae	Peristenus	stygicus		Wasp	0.10	0.10		FIA	S	DM	Ardila-Garcia, A.M., G.J. Umphrey, and T.R. Gregory (2010). An expansion of the genome size dataset for the insect order Hymenoptera, with a first test of parasitism and eusociality as possible constraints. Insect Molecular Biology 19: 337–346.	
Arthropoda	Hexapoda	Insecta	Phthiraptera	Pediculidae	Pediculus	humanus	capitis	Human head louse	0.11	0.11		FCM	BR	DM	Johnston, J.S., K.S. Yoon, J.P. Strycharz, B.R. Pittendrigh, and J.M. Clark (2007). Body lice and head lice (Anoplura: Pediculidae) have the smallest genomes of any hemimetabolous insect reported to date. Journal of Medical Entomology 44: 1009-1012.	
Arthropoda	Hexapoda	Insecta	Phthiraptera	Pediculidae	Pediculus	humanus	humanus	Human body louse	0.11	0.11		FCM	BR	DM	Johnston, J.S., K.S. Yoon, J.P. Strycharz, B.R. Pittendrigh, and J.M. Clark (2007). Body lice and head lice (Anoplura: Pediculidae) have the smallest genomes of any hemimetabolous insect reported to date. Journal of Medical Entomology 44: 1009-1012.	
Arthropoda	Hexapoda	Insecta	Strepsiptera	Myrmecolacidae	Caenocholax	fenyesi	texensis	Twisted-wing parasite	0.11	0.11		FCM	BR	DM	Johnston, J.S., L.D. Ross, L. Beani, D.P. Hughes, and J. Kathirithamby (2004).  Tiny genomes and endoreduplication in Strepsiptera.  Insect Molecular Biology 13: 581-585.	
Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	Cricotopus	sylvestris		Midge	0.11	0.11		FCM	BR	DM	Cornette, R., O. Gusev, Y. Nakahara, S. Shimura, T. Kikawada, and T. Okuda (2015). Chironomid midges (Diptera, Chironomidae) show extremely small genome sizes. Zoological Science 32: 248-254.	
Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	Polypedilum	tamanigrum		Midge	0.11	0.11		FCM	BR	DM	Cornette, R., O. Gusev, Y. Nakahara, S. Shimura, T. Kikawada, and T. Okuda (2015). Chironomid midges (Diptera, Chironomidae) show extremely small genome sizes. Zoological Science 32: 248-254.	
