"group"	"order"
"Hymenoptera"	"Hymenoptera"
"Condylognatha"	"Hemiptera"
"Psocodea"	"Psocoptera"
"Psocodea"	"Phthiraptera"
"Condylognatha"	"Thysanoptera"
"Antliophora"	"Diptera"
"Antliophora"	"Mecoptera"
"Antliophora"	"Siphonaptera"
"Neuropteroidea"	"Coleoptera"
"Neuropteroidea"	"Strepsiptera"
"Neuropteroidea"	"Neuroptera"
"Neuropteroidea"	"Megaloptera"
"Neuropteroidea"	"Raphidioptera"
"Amphiesmenoptera"	"Trichoptera"
"Amphiesmenoptera"	"Lepidoptera"
"Polyneoptera"	"Plecoptera"
"Polyneoptera"	"Orthoptera"
"Polyneoptera"	"Phasmatodea"
"Polyneoptera"	"Dermaptera"
"Polyneoptera"	"Blattodea"
"Polyneoptera"	"Embioptera"
"Polyneoptera"	"Isoptera"
"Polyneoptera"	"Mantophasmatodea"
"Polyneoptera"	"Zoraptera"
"Polyneoptera"	"Grylloblattodea"
"Polyneoptera"	"Mantodea"
"Palaeoptera"	"Ephemeroptera"
"Palaeoptera"	"Odonata"
"Apterygota"	"Thysanura"
"Apterygota"	"Archaeognatha"
"Apterygota"	"Protura"
"Apterygota"	"Diplura"
"Apterygota"	"Zygentoma"
"Apterygota"	"Collembola"
