rank	name	reference	ootheca
genus	Acanthodes	Goldberg2015	TRUE
genus	Acentroptera	Goldberg2015	TRUE
genus	Acmenychus	Goldberg2015	TRUE
genus	Acritispa	Goldberg2015	TRUE
genus	Acrocassis	Goldberg2015	TRUE
genus	Acromis	Goldberg2015	TRUE
genus	Adalurnus	Goldberg2015	TRUE
genus	Aethiopocassis	Goldberg2015	TRUE
genus	Agathispa	Goldberg2015	TRUE
genus	Agenysa	Goldberg2015	TRUE
genus	Agoniella	Goldberg2015	TRUE
genus	Agonita	Goldberg2015	TRUE
genus	Agroiconota	Goldberg2015	TRUE
genus	Aidoia	Goldberg2015	TRUE
genus	Alurnus	Goldberg2015	TRUE
genus	Amblispa	Goldberg2015	TRUE
genus	Amythra	Goldberg2015	TRUE
genus	Anacassis	Goldberg2015	TRUE
genus	Andevocassis	Goldberg2015	TRUE
genus	Androya	Goldberg2015	TRUE
genus	Anepsiomorpha	Goldberg2015	TRUE
genus	Anisochalepus	Goldberg2015	TRUE
genus	Anisodera	Goldberg2015	TRUE
genus	Anisostena	Goldberg2015	TRUE
genus	Aporocassida	Goldberg2015	TRUE
genus	Aproida	Goldberg2015	TRUE
genus	Arescus	Goldberg2015	TRUE
genus	Asamangulia	Goldberg2015	TRUE
genus	Aslamidium	Goldberg2015	TRUE
genus	Aspidimorpha	Goldberg2015	TRUE
genus	Aspidispa	Goldberg2015	TRUE
genus	Asteriza	Goldberg2015	TRUE
genus	Aulostyrax	Goldberg2015	TRUE
genus	Austropsecadia	Goldberg2015	TRUE
genus	Baliosus	Goldberg2015	TRUE
genus	Balyana	Goldberg2015	TRUE
genus	Basiprionota	Goldberg2015	TRUE
genus	Basipta	Goldberg2015	TRUE
genus	Botanochara	Goldberg2015	TRUE
genus	Bothrispa	Goldberg2015	TRUE
genus	Botryonopa	Goldberg2015	TRUE
genus	Brachycoryna	Goldberg2015	TRUE
genus	Bradycassis	Goldberg2015	TRUE
genus	Brontispa	Goldberg2015	TRUE
genus	Bruchia	Goldberg2015	TRUE
genus	Bulolispa	Goldberg2015	TRUE
genus	Calamispa	Goldberg2015	TRUE
genus	Caledonispa	Goldberg2015	TRUE
genus	Callanispa	Goldberg2015	TRUE
genus	Calliaspis	Goldberg2015	TRUE
genus	Callispa	Goldberg2015	TRUE
genus	Callistola	Goldberg2015	TRUE
genus	Callohispa	Goldberg2015	TRUE
genus	Calyptocephala	Goldberg2015	TRUE
genus	Canistra	Goldberg2015	TRUE
genus	Capelocassis	Goldberg2015	TRUE
genus	Carinispa	Goldberg2015	TRUE
genus	Carlobruchia	Goldberg2015	TRUE
genus	Cassida	Goldberg2015	TRUE
genus	Cassidinoma	Goldberg2015	TRUE
genus	Cassidispa	Goldberg2015	TRUE
genus	Cassidopsis	Goldberg2015	TRUE
genus	Cephaloleia	Goldberg2015	TRUE
genus	Ceratispa	Goldberg2015	TRUE
genus	Chacocassis	Goldberg2015	TRUE
genus	Chaeridiona	Goldberg2015	TRUE
genus	Chalepispa	Goldberg2015	TRUE
genus	Chalepotatus	Goldberg2015	TRUE
genus	Chalepus	Goldberg2015	TRUE
genus	Charidotella	Goldberg2015	TRUE
genus	Charidotis	Goldberg2015	TRUE
genus	Charistena	Goldberg2015	TRUE
genus	Chelobasis	Goldberg2015	TRUE
genus	Chelymorpha	Goldberg2015	TRUE
genus	Chelysida	Goldberg2015	TRUE
genus	Chersinellina	Goldberg2015	TRUE
genus	Chiridopsis	Goldberg2015	TRUE
genus	Chiridula	Goldberg2015	TRUE
genus	Chlamydocassis	Goldberg2015	TRUE
genus	Chrysispa	Goldberg2015	TRUE
genus	Cirrispa	Goldberg2015	TRUE
genus	Cistudinella	Goldberg2015	TRUE
genus	Cladispa	Goldberg2015	TRUE
genus	Clinocarispa	Goldberg2015	TRUE
genus	Cnetispa	Goldberg2015	TRUE
genus	Coelaenomenodera	Goldberg2015	TRUE
genus	Conchyloctenia	Goldberg2015	TRUE
genus	Coptocycla	Goldberg2015	TRUE
genus	Coraliomela	Goldberg2015	TRUE
genus	Corynispa	Goldberg2015	TRUE
genus	Crambelea	Goldberg2015	TRUE
genus	Craspedonispa	Goldberg2015	TRUE
genus	Craspedonta	Goldberg2015	TRUE
genus	Cryptonychus	Goldberg2015	TRUE
genus	Cteisella	Goldberg2015	TRUE
genus	Ctenocassida	Goldberg2015	TRUE
genus	Ctenocharidotis	Goldberg2015	TRUE
genus	Ctenophilaspis	Goldberg2015	TRUE
genus	Cubispa	Goldberg2015	TRUE
genus	Cyclocassis	Goldberg2015	TRUE
genus	Cyclosoma	Goldberg2015	TRUE
genus	Cyperispa	Goldberg2015	TRUE
genus	Cyrtonota	Goldberg2015	TRUE
genus	Dactylispa	Goldberg2015	TRUE
genus	Decatelia	Goldberg2015	TRUE
genus	Delocrania	Goldberg2015	TRUE
genus	Deloyala	Goldberg2015	TRUE
genus	Demotispa	Goldberg2015	TRUE
genus	Dicladispa	Goldberg2015	TRUE
genus	Discomorpha	Goldberg2015	TRUE
genus	Dorcathispa	Goldberg2015	TRUE
genus	Dorynota	Goldberg2015	TRUE
genus	Downesia	Goldberg2015	TRUE
genus	Drepanocassis	Goldberg2015	TRUE
genus	Drescheria	Goldberg2015	TRUE
genus	Echoma	Goldberg2015	TRUE
genus	Elytrogona	Goldberg2015	TRUE
genus	Emdenia	Goldberg2015	TRUE
genus	Enagria	Goldberg2015	TRUE
genus	Enischnispa	Goldberg2015	TRUE
genus	Epistictina	Goldberg2015	TRUE
genus	Erbolaspis	Goldberg2015	TRUE
genus	Eremionycha	Goldberg2015	TRUE
genus	Erepsocassis	Goldberg2015	TRUE
genus	Estigmena	Goldberg2015	TRUE
genus	Eugenysa	Goldberg2015	TRUE
genus	Euprionota	Goldberg2015	TRUE
genus	Eurispa	Goldberg2015	TRUE
genus	Eurypedus	Goldberg2015	TRUE
genus	Eurypepla	Goldberg2015	TRUE
genus	Eutheria	Goldberg2015	TRUE
genus	Euxema	Goldberg2015	TRUE
genus	Exestastica	Goldberg2015	TRUE
genus	Exothispa	Goldberg2015	TRUE
genus	Floridocassis	Goldberg2015	TRUE
genus	Fornicocassis	Goldberg2015	TRUE
genus	Fossispa	Goldberg2015	TRUE
genus	Gestronella	Goldberg2015	TRUE
genus	Glyphocassis	Goldberg2015	TRUE
genus	Glyphuroplata	Goldberg2015	TRUE
genus	Goniochenia	Goldberg2015	TRUE
genus	Gonophora	Goldberg2015	TRUE
genus	Goyachalepus	Goldberg2015	TRUE
genus	Gratiana	Goldberg2015	TRUE
genus	Gyllenhaleus	Goldberg2015	TRUE
