bib	name	genus	species	order	family	problem
Ivanova-Kasas1972	Ageniaspis_atricollis	Ageniaspis	atricollis	Hymenoptera	Encyrtidae	
Ivanova-Kasas1972	Ageniaspis_fuscicollis	Ageniaspis	fuscicollis	Hymenoptera	Encyrtidae	
Ivanova-Kasas1972	Ageniaspis_testaceipes	Ageniaspis	testaceipes	Hymenoptera	Encyrtidae	
Ivanova-Kasas1972	Amicroplus_collaris	Amicroplus	collaris	Hymenoptera		no_taxonomy
Ivanova-Kasas1972	Copidosoma_bakeri	Berecyntus	bakeri	Hymenoptera	Encyrtidae	
Ivanova-Kasas1972	Copidosoma_boucheanum	Copidosoma	boucheanum	Hymenoptera	Encyrtidae	
Ivanova-Kasas1972	Copidosoma_buyssoni	Copidosoma	buyssoni	Hymenoptera	Encyrtidae	
segoli2009developmental	Copidosoma_floridanum	Copidosoma	floridanum	Hymenoptera	Encyrtidae	
Ivanova-Kasas1972	Copidosoma_gelechiae	Copidosoma	gelechiae	Hymenoptera	Encyrtidae	
segoli2009developmental	Copidosoma_koehleri	Copidosoma	koehleri	Hymenoptera	Encyrtidae	
Ivanova-Kasas1972	Copidosoma_koehleri	Copidosoma	koehleri	Hymenoptera	Encyrtidae	
Ivanova-Kasas1972	Copidosoma_nanellae	Copidosoma	nanellae	Hymenoptera	Encyrtidae	
Ivanova-Kasas1972	Copidosoma_nanellae	Copidosoma	nannellae	Hymenoptera	Encyrtidae	
segoli2009developmental	Copidosoma_sosares	Copidosoma	sosares	Hymenoptera	Encyrtidae	
Ivanova-Kasas1972	Copidosoma_thompsoni	Copidosoma	thompsoni	Hymenoptera	Encyrtidae	
Ivanova-Kasas1972	Copidosoma_aretas	Copidosoma	torticis	Hymenoptera	Encyrtidae	
cruz1986development	Copidosomopsis_tanytmemus	Copidosomopsis	tanytmemus	Hymenoptera	Encyrtidae	
segoli2009developmental	Copidosomopsis_tanytmemus	Copidosomopsis	tanytmemus	Hymenoptera	Encyrtidae	
Ivanova-Kasas1972	Copidosoma_varicorne	Encyrtus	variicornis	Hymenoptera	Encyrtidae	
Ivanova-Kasas1972	Halictoxenos_simplicis	Halictoxenus	simplicis	Strepsiptera	Stylopidae	
Ivanova-Kasas1972	Litomaslix_delattrei	Litomastix	delattrei	Hymenoptera		no_taxonomy
Ivanova-Kasas1972	Copidosoma_floridanum	Litomastix	floridanus	Hymenoptera	Encyrtidae	
Ivanova-Kasas1972	Copidosoma_kriechbaumeri	Litomastix	kriechbaumery	Hymenoptera	Encyrtidae	
Ivanova-Kasas1972	Copidosoma_truncatellum	Litomastix	truncatellus	Hymenoptera	Encyrtidae	
Ivanova-Kasas1972	Macrocentrus_ancylivorus	Macrocentrus	ancylivorus	Hymenoptera	Braconidae	
Hu2008	Macrocentrus_cingulum	Macrocentrus	cingulum	Hymenoptera	Braconidae	
Ivanova-Kasas1972	Macrocentrus_linearis	Macrocentrus	gifuensis	Hymenoptera	Braconidae	
Ivanova-Kasas1972	Macrocentrus_homonae	Macrocentrus	homonae	Hymenoptera	Braconidae	
Ivanova-Kasas1972	Platygaster_felti	Platygaster	felti	Hymenoptera	Platygastridae	
hill1937biology	Platygaster_hiemalis	Platygaster	hiemalis	Hymenoptera	Platygastridae	
Ivanova-Kasas1972	Platygaster_variabilis	Platygaster	variabilis	Hymenoptera	Platygastridae	
leiby1924polyembryonic	Platygaster_vernalis	Platygaster	vernalis	Hymenoptera	Platygastridae	
Ivanova-Kasas1972	Platygaster_vernalis	Platygaster	vernalis	Hymenoptera	Platygastridae	
Ivanova-Kasas1972	Platygaster_zosine	Platygaster	zosine	Hymenoptera	Platygastridae	
hill1937biology	Platygaster_zosine	Platygaster	zosine	Hymenoptera	Platygastridae	
Ivanova-Kasas1972	Platygaster	Polygnotus	hiemalis	Hymenoptera	Platygastridae	no_species
kornhauser1919sexual	Aphelopus	Aphelopus	theliae	Hymenoptera	Dryinidae	no_species
Ivanova-Kasas1972	Aphelopus	Aphelopus	theliae	Hymenoptera	Dryinidae	no_species
