,N_in_DB,Ntips_phylo,Ntips_tax,OTL_node_id,OTL_rank,parent,taxon
0,1,62.0,64,ott2974289,family,Oplophoroidea,Acanthephyridae
1,2,97.0,97,ott501109,family,Mantodea,Acanthopidae
2,5,116.0,118,ott215958,family,Pentatomoidea,Acanthosomatidae
3,1,5.0,6,ott230908,family,Opomyzoidea,Acartophthalmidae
4,2,371.0,373,ott7004,family,Acerentomata,Acerentomidae
5,491,7015.0,7073,ott178928,family,Acridoidea,Acrididae
6,8,271.0,280,ott474404,family,Tineoidea,Acrolophidae
7,1,423.0,426,ott557830,family,Incurvarioidea,Adelidae
8,3,568.0,641,ott639694,family,Aeshnoidea,Aeshnidae
9,7,2045.0,2074,ott118190,family,Chalcidoidea,Agaonidae
10,3,9.0,10,ott612786,family,Agathemerodea,Agathemeridae
11,1,118.0,118,ott485580,family,Gelechioidea,Agonoxenidae
12,4,3506.0,3907,ott135201,family,Opomyzoidea,Agromyzidae
13,9,1577.0,1623,ott290572,family,Aleyrodoidea,Aleyrodidae
14,15,300.0,323,ott1024052,family,Coreoidea,Alydidae
15,2,89.0,90,ott298359,family,Pisciforma,Ameletidae
16,2,4.0,5,ott796478,family,Pisciforma,Ametropodidae
17,1,12103.0,13065,ott737019,order,Peracarida,Amphipoda
18,1,15.0,15,ott786779,family,Gelechioidea,Amphisbatidae
19,1,6.0,6,ott659561,family,Dytiscoidea,Amphizoidae
20,1,199.0,200,ott629599,family,Sphecoidea,Ampulicidae
21,36,2854.0,2919,ott579172,family,Apoidea,Andrenidae
22,2,35.0,35,ott3507843,family,Bacilloidea,Anisacanthidae
23,1,112.0,112,ott830697,family,Embioptera,Anisembiidae
24,4,,415,,family,Anisolabidoidea,Anisolabididae
25,12,753.0,789,ott6431,family,Bostrichoidea,Anobiidae
26,9,209.0,270,ott1087104,family,Tettigonioidea,Anostostomatidae
27,1,199.0,199,ott705300,family,Bombycoidea,Anthelidae
28,10,245.0,272,ott1094423,family,Cimicoidea,Anthocoridae
29,19,2181.0,2430,ott116716,family,Muscoidea,Anthomyiidae
30,2,93.0,454,ott61017,family,Curculionoidea,Anthribidae
31,1,229.0,235,ott919159,family,Limnephiloidea,Apataniidae
32,26,457.0,465,ott5023254,family,Psylloidea,Aphalaridae
33,28,,1567,,family,Chalcidoidea,Aphelinidae
34,9,5905.0,4649,ott155403,family,Aphidoidea,Aphididae
35,1,1300.0,1358,ott378237,genus,Aphodiinae,Aphodius
36,2,1003.0,1033,ott215082,family,Cercopoidea,Aphrophoridae
37,211,,6286,,family,Apoidea,Apidae
38,9,,122632,,class,Chelicerata,Arachnida
39,6,537.0,594,ott891663,family,Aradoidea,Aradidae
40,4,495.0,575,ott388213,order,Monocondylia,Archaeognatha
41,1,87.0,87,ott173720,family,Archipsocetae,Archipsocidae
42,11,133.0,145,ott1048648,family,Tenthredinoidea,Argidae
43,2,206.0,213,ott525774,family,Yponomeutoidea,Argyresthiidae
44,29,430.0,443,ott864073,family,Neuroptera,Ascalaphidae
45,6,96.0,96,ott707942,family,Aschiphasmatoidea,Aschiphasmatidae
46,20,8124.0,8217,ott653876,family,Asiloidea,Asilidae
47,1,152.0,154,ott754002,family,Opomyzoidea,Asteiidae
48,24,737.0,1835,ott58430,family,Curculionoidea,Attelabidae
49,1,202.0,210,ott898870,family,Evanioidea,Aulacidae
50,2,48.0,49,ott754005,family,Opomyzoidea,Aulacigastridae
51,3,19.0,19,ott555323,family,Gripopterygoidea,Austroperlidae
52,1,15.0,15,ott578343,family,Mantophasmatodea,Austrophasmatidae
53,14,65.0,67,ott444123,family,Bacilloidea,Bacillidae
54,19,1292.0,1317,ott848197,family,Pisciforma,Baetidae
55,2,16.0,19,ott298355,family,Carapacea,Baetiscidae
56,2,10.0,10,ott898273,family,Palpotarsa,Behningiidae
57,14,51.0,75,ott1012611,family,Nepomorpha,Belostomatidae
58,2,131.0,173,ott87641,family,Neuroptera,Berothidae
59,4,58.0,65,ott47492,family,Lygaeoidea,Berytidae
60,23,405.0,507,ott25166,family,Chrysidoidea,Bethylidae
61,1,204.0,270,ott1094291,family,Mecoptera,Bittacidae
62,48,1332.0,1394,ott48290,family,Blaberoidea,Blaberidae
63,1,6.0,6,ott789570,family,Tenthredinoidea,Blasticotomidae
64,20,739.0,771,ott48277,family,Blattoidae,Blattidae
65,225,6669.0,8904,ott920179,order,Dictyoptera,Blattodea
66,7,362.0,373,ott672217,family,Blephariceroidea,Blephariceridae
67,1,62.0,63,ott3470908,family,Lygaeoidea,Blissidae
68,5,523.0,528,ott738378,family,Scarabaeoidea,Bolboceratidae
69,1,,343,,genus,Bombini,Bombus
70,8,403.0,441,ott965952,family,Bombycoidea,Bombycidae
71,12,5728.0,5775,ott653874,family,Asiloidea,Bombyliidae
72,3,10.0,10,ott725634,family,Tenebrionoidea,Boridae
73,14,628.0,640,ott633649,family,Bostrichoidea,Bostrichidae
74,1,,393,,family,Cucujoidea,Bothrideridae
75,1,152.0,152,ott1023164,family,Sesioidea,Brachodidae
76,3,,315,,family,Curculionoidea,Brachyceridae
77,116,24007.0,25876,ott678079,family,Ichneumonoidea,Braconidae
78,1,,48,,family,Bombycoidea,Brahmaeidae
79,3,7.0,7,ott651733,family,Carnoidea,Braulidae
80,11,1901.0,2035,ott211881,family,Curculionoidea,Brentidae
81,1,279.0,284,ott714617,family,Tineoidea,Bucculatricidae
82,5,2637.0,2891,ott587367,family,Buprestoidea,Buprestidae
83,10,260.0,261,ott202183,family,Caenoidea,Caenidae
84,85,1660.0,1685,ott1011003,family,Oestroidea,Calliphoridae
85,1,103.0,103,ott277581,family,Psylloidea,Calophyidae
86,2,249.0,258,ott866417,family,Calopterygoidea,Calopterygidae
87,3,480.0,489,ott700793,family,Campodeoidea,Campodeidae
88,1,2856.0,3046,ott161625,family,Elateroidea,Cantharidae
89,8,303.0,314,ott1081662,family,Nemouroidea,Capniidae
90,123,,38050,,family,Caraboidea,Carabidae
91,2,353.0,354,ott244316,family,Castnioidea,Castniidae
92,1,662.0,663,ott913923,genus,Catocalinae,Catocala
93,17,6848.0,14890,ott933819,family,Sciaroidea,Cecidomyiidae
94,1,17.0,17,ott557820,family,Incurvarioidea,Cecidosidae
95,2,119.0,154,ott70033,family,Lauxanioidea,Celyphidae
96,3,87.0,92,ott76555,family,Cephoidea,Cephidae
97,83,,34793,,family,Chrysomeloidea,Cerambycidae
98,1,316.0,319,ott365535,family,Ceraphronoidea,Ceraphronidae
99,1,30.0,34,ott4223679,family,Dipsocoromorpha,Ceratocombidae
100,2,459.0,468,ott966423,family,Ceratophylloidea,Ceratophyllidae
101,2,1305.0,1599,ott65317,family,Cercopoidea,Cercopidae
102,11,1377.0,1389,ott427746,family,Chalcidoidea,Chalcididae
103,1,200.0,258,ott390635,family,Culicoidea,Chaoboridae
104,2,5.0,5,ott860067,family,Sericostomatoidea,Chathamiidae
105,1,97.0,99,ott334150,family,Forficuloidea,Chelisochidae
106,4,9619.0,12619,ott661367,family,Chironomoidea,Chironomidae
107,26,224.0,233,ott475826,family,Perloidea,Chloroperlidae
108,4,3239.0,3420,ott1008045,family,Carnoidea,Chloropidae
109,19,477.0,504,ott831136,family,Chrysidoidea,Chrysididae
110,65,,14827,,family,Chrysomeloidea,Chrysomelidae
111,31,1444.0,1493,ott337148,family,Neuroptera,Chrysopidae
112,6,20535.0,21567,ott990675,family,Membracoidea,Cicadellidae
113,1,3226.0,3330,ott290567,family,Cicadoidea,Cicadidae
114,5,86.0,102,ott1048652,family,Tenthredinoidea,Cimbicidae
115,7,58.0,59,ott566152,family,Cimicoidea,Cimicidae
116,3,2358.0,2437,ott582669,family,Fulgoroidea,Cixiidae
117,1,,1098,,family,Cleroidea,Cleridae
118,1,443.0,452,ott230909,family,Opomyzoidea,Clusiidae
119,2,29741.0,31274,ott866089,genus,Euhemiptera,Clypeorrhyncha
120,3,1474.0,1482,ott736071,family,Coccoidea,Coccidae
121,12,1481.0,1585,ott965942,family,Cucujoidea,Coccinellidae
122,4,1596.0,1302,ott346419,family,Coenagrionoidea,Coenagrionidae
123,1,1235.0,1241,ott728537,family,Gelechioidea,Coleophoridae
