parent	child
143	Ixodes
143	142
142	1
142	141
1	Symphylella
1	Glomeris
141	4
141	140
4	Cypridininae
4	3
140	5
140	139
5	Lepeophtheirus
5	Daphnia
3	Sarsinebalia
3	no_name_1
no_name_1	Litopenaeus
no_name_1	Celuca
139	Speleonectes
139	138
138	10
138	137
10	Acerentomon
10	9
9	Sminthurus
9	no_name_2
no_name_2	no_name_3
no_name_2	no_name_4
no_name_3	Tetrodontophora
no_name_3	Anurida
no_name_4	Pogonognathellus
no_name_4	Folsomia
137	11
137	136
11	Campodea
11	Occasjapyx
136	12
136	135
12	Meinertellus
12	Machilis
135	14
135	134
14	Tricholepidion
14	no_name_5
no_name_5	Thermobia
no_name_5	Atelura
134	20
134	133
20	19
20	17
19	Calopteryx
19	no_name_6
no_name_6	Cordulegaster
no_name_6	Epiophlebia
17	Baetis
17	no_name_7
no_name_7	Isonychia
no_name_7	no_name_8
no_name_8	Eurylophella
no_name_8	Ephemera
133	132
133	105
132	107
132	131
107	Zorotypus
107	106
106	Forficula
106	Apachyus
131	109
131	130
109	Leuctra
109	no_name_9
no_name_9	Perla
no_name_9	Cosmioperla
130	129
130	125
129	no_name_10
129	no_name_11
no_name_10	Gryllotalpa
no_name_10	Ceuthophilus
no_name_11	no_name_12
no_name_11	Tetrix
no_name_12	Prosarthria
no_name_12	Stenobothrus
125	124
125	117
124	123
124	121
123	Tanzaniophasma
123	122
122	Galloisiana
122	Grylloblatta
121	118
121	120
118	Haploembia
118	Aposthonia
120	Timema
120	no_name_13
no_name_13	Peruphasma
no_name_13	Aretaon
117	111
117	116
111	Metallyticus
111	no_name_14
no_name_14	Empusa
no_name_14	Mantis
116	Blaberus
116	no_name_15
no_name_15	Periplaneta
no_name_15	no_name_16
no_name_16	Cryptocercus
no_name_16	113
113	Mastotermes
113	Prorhinotermes
113	Zootermopsis
105	37
105	104
37	22
37	36
22	Gynaikothrips
22	no_name_17
no_name_17	Frankliniella
no_name_17	Thrips
36	28
36	35
28	no_name_18
28	no_name_19
no_name_18	Trialeurodes
no_name_18	Bemisia
no_name_19	no_name_20
no_name_19	Acanthocasuarina
no_name_20	no_name_21
no_name_20	Planococcus
no_name_21	Essigella
no_name_21	no_name_22
no_name_22	Aphis
no_name_22	Acyrthosiphon
35	31
35	34
31	no_name_23
31	no_name_24
no_name_23	Acanthosoma
no_name_23	Notostira
no_name_24	Ranatra
no_name_24	Velia
34	Xenophysella
34	33
33	Nilaparvata
33	no_name_25
no_name_25	Cercopis
no_name_25	Okanagana
104	40
104	103
40	Ectopsocus
40	39
39	Liposcelis
39	38
38	Menopon
38	Pediculus
103	50
103	102
50	Tenthredo
50	no_name_26
no_name_26	Orussus
no_name_26	no_name_27
no_name_27	no_name_28
no_name_27	no_name_29
no_name_28	Cotesia
no_name_28	no_name_30
no_name_30	Leptopilina
no_name_30	Nasonia
no_name_29	Chrysis
no_name_29	no_name_31
no_name_31	no_name_32
no_name_31	no_name_33
no_name_32	Acromyrmex
no_name_32	Harpegnathos
no_name_33	Exoneura
no_name_33	no_name_34
no_name_34	Apis
no_name_34	Bombus
102	67
102	101
67	66
67	59
66	65
66	64
65	Inocellia
65	Xanthostigma
64	63
64	62
63	Corydalus
63	Sialis
62	Conwentzia
62	no_name_35
no_name_35	Osmylus
no_name_35	no_name_36
no_name_36	Pseudomallada
no_name_36	Euroleon
59	58
59	57
58	Mengenilla
58	Stylops
57	no_name_37
57	no_name_38
no_name_37	Aleochara
no_name_37	no_name_39
no_name_39	Dendroctonus
no_name_39	no_name_40
no_name_40	Meloe
no_name_40	Tribolium
no_name_38	Lepicerus
no_name_38	no_name_41
no_name_41	Priacma
no_name_41	no_name_42
no_name_42	Gyrinus
no_name_42	Carabus
101	100
101	86
100	99
100	95
99	no_name_43
99	no_name_44
no_name_43	Rhyacophila
no_name_43	Platycentropus
no_name_44	Hydroptila
no_name_44	no_name_45
no_name_45	Philopotamus
no_name_45	Annulipalpia chim.
95	Micropterix
95	no_name_46
no_name_46	no_name_47
no_name_46	Dyseriocrania
no_name_47	Triodia
no_name_47	no_name_48
no_name_48	Nemophora
no_name_48	no_name_49
no_name_49	Yponomeuta
no_name_49	no_name_50
no_name_50	Zygaena
no_name_50	no_name_51
no_name_51	no_name_52
no_name_51	no_name_53
no_name_52	Polyommatus
no_name_52	Parides
no_name_53	Bombyx
no_name_53	Manduca
86	85
86	79
85	81
85	84
81	Ceratophyllus
81	no_name_54
no_name_54	Archaeopsylla
no_name_54	Ctenocephalides
84	Boreus
84	no_name_55
no_name_55	Nannochorista
no_name_55	no_name_56
no_name_56	Bittacus
no_name_56	Panorpa
79	no_name_57
79	no_name_58
no_name_57	Anopheles
no_name_57	Aedes
no_name_58	no_name_59
no_name_58	no_name_60
no_name_59	Phlebotomus
no_name_59	no_name_61
no_name_61	Trichocera
no_name_61	Tipula
no_name_60	Bibio
no_name_60	no_name_62
no_name_62	Bombylius
no_name_62	no_name_63
no_name_63	no_name_64
no_name_63	Drosophila
no_name_64	Lipara
no_name_64	no_name_65
no_name_65	Rhagoletis
no_name_65	no_name_66
no_name_66	Glossina
no_name_66	no_name_67
no_name_67	Sarcophaga
no_name_67	Triarthria
