gene,accession,ott_order,name,reference_name,reference_taxon,tree_name
18S,SRR921614,Archaeognatha,Machilis hrabei,Machilis_820895,Archaeognatha,Machilis
28S,SRR921614,Archaeognatha,Machilis hrabei,Machilis_820895,Archaeognatha,Machilis
18S,SRR921617,Archaeognatha,Meinertellus cundinamarcensis,Meinertellus_3005330,Archaeognatha,Meinertellus
28S,SRR921617,Archaeognatha,Meinertellus cundinamarcensis,Meinertellus_3005330,Archaeognatha,Meinertellus
18S,SRR921563,Coleoptera,Aleochara curtula,Aleochara_725145,Coleoptera,Aleochara
28S,SRR921563,Coleoptera,Aleochara curtula,Aleochara_725145,Coleoptera,Aleochara
18S,SRR596983,Coleoptera,Carabus granulatus,Carabus_413468,Coleoptera,Carabus
28S,SRR596983,Coleoptera,Carabus granulatus,Carabus_413468,Coleoptera,Carabus
18S,HG813121.1.1951,Coleoptera,Carabus latreilleanus,Carabus_413468,Coleoptera,Carabus
28S,ET797345.1,Coleoptera,Carabus nemoralis,Carabus_413468,Coleoptera,Carabus
18S,,Coleoptera,Dendroctonus frontalis,Dendroctonus_541438,Coleoptera,Dendroctonus
28S,KP419429.1,Coleoptera,Dendroctonus frontalis,Dendroctonus_541438,Coleoptera,Dendroctonus
18S,GAFX01007078.3.1914,Coleoptera,Dendroctonus ponderosae (mountain pine beetle),Dendroctonus_541438,Coleoptera,Dendroctonus
28S,,Coleoptera,Dendroctonus ponderosae (mountain pine beetle),Dendroctonus_541438,Coleoptera,Dendroctonus
18S,SRR921604,Coleoptera,Gyrinus marinus,Gyrinus_112570,Coleoptera,Gyrinus
28S,SRR921604,Coleoptera,Gyrinus marinus,Gyrinus_112570,Coleoptera,Gyrinus
28S,EU797355.1,Coleoptera,Gyrinus woodruffi,Gyrinus_112570,Coleoptera,Gyrinus
18S,SRR921609,Coleoptera,Lepicerus sp. AD-2013,Lepicerus_900806,Coleoptera,Lepicerus
28S,SRR921609,Coleoptera,Lepicerus sp. AD-2013,Lepicerus_900806,Coleoptera,Lepicerus
18S,SRR921618,Coleoptera,Meloe violaceus,Meloe_321954,Coleoptera,Meloe
28S,SRR921618,Coleoptera,Meloe violaceus,Meloe_321954,Coleoptera,Meloe
18S,ET797411.1.1971,Coleoptera,Priacma serrata,Priacma_347781,Coleoptera,Priacma
18S,SRR596769,Coleoptera,Priacma serrata,Priacma_347781,Coleoptera,Priacma
28S,KP419595.1,Coleoptera,Priacma serrata,Priacma_347781,Coleoptera,Priacma
28S,SRR596769,Coleoptera,Priacma serrata,Priacma_347781,Coleoptera,Priacma
18S,HM156711.1.1831,Coleoptera,Tribolium castaneum (red flour beetle),Tribolium_1093463,Coleoptera,Tribolium
28S,HM156703.1,Coleoptera,Tribolium castaneum (red flour beetle),Tribolium_1093463,Coleoptera,Tribolium
18S,SRR921564,Collembola,Anurida maritima,Anurida_84736,Collembola,Anurida
18S,,Collembola,Anurida maritima,Anurida_84736,Collembola,Anurida
28S,SRR921564,Collembola,Anurida maritima,Anurida_84736,Collembola,Anurida
28S,AJ251738.4,Collembola,Anurida maritima,Anurida_84736,Collembola,Anurida
18S,SRR921597,Collembola,Folsomia candida,Folsomia_507328,Collembola,Folsomia
28S,SRR921597,Collembola,Folsomia candida,Folsomia_507328,Collembola,Folsomia
18S,SRR921635,Collembola,Pogonognathellus sp. AD-2013,Pogonognathellus_281175,Collembola,Pogonognathellus
28S,SRR921635,Collembola,Pogonognathellus sp. AD-2013,Pogonognathellus_281175,Collembola,Pogonognathellus
18S,SRR921641,Collembola,Sminthurus viridis,Sminthurus_510667,Collembola,Sminthurus
